Account_Id,Trans_Id,Age,Followers,NAME_CONTRACT_TYPE,GENDER,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_FAMILY_STATUS,Label,results
10.42.0.151-10.42.0.1-17034-53-17,100002,35,1090,Cash loans,M,202500.0,406597.5,24700.5,351000.0,Working,Single / not married,1,1
192.229.173.173-10.42.0.151-80-46765-6,100003,30,930,Cash loans,F,270000.0,1293502.5,35698.5,1129500.0,State servant,Married,0,0
10.42.0.151-10.42.0.1-31408-53-17,100004,34,640,Revolving loans,M,67500.0,135000.0,6750.0,135000.0,Working,Single / not married,0,0
172.217.10.234-10.42.0.151-443-40023-6,100006,39,1260,Cash loans,F,135000.0,312682.5,29686.5,297000.0,Working,Civil marriage,0,0
10.42.0.211-23.194.180.131-57723-443-6,100007,45,200,Cash loans,M,121500.0,513000.0,21865.5,513000.0,Working,Single / not married,0,0
10.42.0.42-121.12.98.63-52319-80-6,100008,31,1270,Cash loans,M,99000.0,490495.5,27517.5,454500.0,State servant,Married,1,1
172.217.12.138-10.42.0.151-443-39728-6,100009,31,1790,Cash loans,F,171000.0,1560726.0,41301.0,1395000.0,Commercial associate,Married,0,0
10.42.0.211-10.42.0.1-15138-53-17,100010,33,2125,Cash loans,M,360000.0,1530000.0,42075.0,1530000.0,State servant,Married,0,0
10.42.0.211-111.202.114.77-56143-443-6,100011,28,1290,Cash loans,F,112500.0,1019610.0,33826.5,913500.0,Pensioner,Married,1,1
10.42.0.151-23.198.165.16-44316-80-6,100012,32,1430,Revolving loans,M,135000.0,405000.0,20250.0,405000.0,Working,Single / not married,0,0
173.194.66.188-10.42.0.151-5228-38571-6,100014,30,3210,Cash loans,F,112500.0,652500.0,21177.0,652500.0,Working,Married,0,0
10.42.0.211-66.102.255.61-45960-443-6,100015,35,1140,Cash loans,F,38419.155,148365.0,10678.5,135000.0,Pensioner,Married,0,0
10.42.0.211-115.239.210.141-51784-80-6,100016,49,1430,Cash loans,F,67500.0,80865.0,5881.5,67500.0,Working,Married,0,0
202.77.129.150-10.42.0.211-80-42554-6,100017,39,1390,Cash loans,M,225000.0,918468.0,28966.5,697500.0,Working,Married,1,1
182.22.65.137-10.42.0.211-443-53661-6,100018,37,525,Cash loans,F,189000.0,773680.5,32778.0,679500.0,Working,Married,1,1
172.217.10.131-10.42.0.151-443-42671-6,100019,37,525,Cash loans,M,157500.0,299772.0,20160.0,247500.0,Working,Single / not married,1,1
183.79.248.124-10.42.0.151-443-53691-6,100020,38,525,Cash loans,M,108000.0,509602.5,26149.5,387000.0,Working,Married,0,0
172.217.6.206-10.42.0.151-80-41751-6,100021,34,1270,Revolving loans,F,81000.0,270000.0,13500.0,270000.0,Working,Married,0,0
10.42.0.211-10.42.0.1-7624-53-17,100022,34,600,Revolving loans,F,112500.0,157500.0,7875.0,157500.0,Working,Widow,0,0
10.42.0.151-10.42.0.1-38287-53-17,100023,37,1040,Cash loans,F,90000.0,544491.0,17563.5,454500.0,State servant,Single / not married,0,0
10.42.0.211-10.42.0.1-31661-53-17,100024,35,1670,Revolving loans,M,135000.0,427500.0,21375.0,427500.0,Working,Married,1,1
10.42.0.211-74.6.105.9-49909-80-6,100025,41,250,Cash loans,F,202500.0,1132573.5,37561.5,927000.0,Commercial associate,Married,1,1
10.42.0.211-10.42.0.1-60718-53-17,100026,28,250,Cash loans,F,450000.0,497520.0,32521.5,450000.0,Working,Married,0,0
10.42.0.211-10.42.0.1-30398-53-17,100027,27,1440,Cash loans,F,83250.0,239850.0,23850.0,225000.0,Pensioner,Married,1,1
10.42.0.151-54.192.38.65-42812-443-6,100029,39,216,Cash loans,M,135000.0,247500.0,12703.5,247500.0,Working,Married,0,0
174.35.73.111-10.42.0.211-80-51177-6,100030,27,600,Cash loans,F,90000.0,225000.0,11074.5,225000.0,Working,Married,0,0
10.42.0.211-10.42.0.1-36086-53-17,100031,31,1340,Cash loans,F,112500.0,979992.0,27076.5,702000.0,Working,Widow,0,0
10.42.0.42-42.236.125.112-48507-80-6,100032,33,3020,Cash loans,M,112500.0,327024.0,23827.5,270000.0,Working,Married,1,1
205.185.216.42-10.42.0.211-80-47181-6,100033,29,950,Cash loans,M,270000.0,790830.0,57676.5,675000.0,State servant,Single / not married,0,0
10.42.0.211-74.6.105.13-58841-443-6,100034,26,1280,Revolving loans,M,90000.0,180000.0,9000.0,180000.0,Working,Single / not married,0,0
180.163.15.184-10.42.0.42-80-58579-6,100035,37,1040,Cash loans,F,292500.0,665892.0,24592.5,477000.0,Commercial associate,Civil marriage,0,0
174.129.238.86-10.42.0.211-443-35532-6,100036,26,1040,Cash loans,F,112500.0,512064.0,25033.5,360000.0,Working,Civil marriage,0,0
172.217.12.206-10.42.0.151-443-33781-6,100037,24,450,Cash loans,F,90000.0,199008.0,20893.5,180000.0,Working,Civil marriage,1,1
10.42.0.211-40.117.145.132-47493-443-6,100039,57,520,Cash loans,M,360000.0,733315.5,39069.0,679500.0,Commercial associate,Married,0,0
172.217.12.202-10.42.0.211-443-46886-6,100040,27,1140,Cash loans,F,135000.0,1125000.0,32895.0,1125000.0,State servant,Married,1,1
10.42.0.211-119.146.74.33-54402-443-6,100041,40,2857,Cash loans,F,112500.0,450000.0,44509.5,450000.0,Working,Married,0,0
203.205.147.229-10.42.0.211-80-58480-6,100043,33,2790,Cash loans,F,198000.0,641173.5,23157.0,553500.0,Commercial associate,Married,1,1
10.42.0.211-58.63.236.212-46650-443-6,100044,40,1070,Cash loans,M,121500.0,454500.0,15151.5,454500.0,Working,Married,0,0
140.205.164.47-10.42.0.211-443-58825-6,100045,42,433,Cash loans,F,99000.0,247275.0,17338.5,225000.0,Pensioner,Married,1,1
10.42.0.211-66.231.239.96-41453-80-6,100046,33,0,Revolving loans,M,180000.0,540000.0,27000.0,540000.0,Working,Married,0,0
10.42.0.42-54.230.36.186-47194-443-6,100047,34,1290,Cash loans,M,202500.0,1193580.0,35028.0,855000.0,Commercial associate,Married,1,1
172.217.12.206-10.42.0.151-443-58146-6,100048,23,1270,Cash loans,F,202500.0,604152.0,29196.0,540000.0,Working,Married,0,0
10.42.0.211-64.71.142.124-57270-443-6,100049,59,2010,Cash loans,F,135000.0,288873.0,16258.5,238500.0,Working,Civil marriage,0,0
219.142.78.162-10.42.0.151-80-54612-6,100050,24,1370,Cash loans,F,108000.0,746280.0,42970.5,675000.0,Pensioner,Single / not married,1,1
10.42.0.211-104.97.95.172-48477-80-6,100051,44,1380,Cash loans,M,202500.0,661702.5,48280.5,598500.0,Working,Civil marriage,0,0
10.42.0.211-103.7.30.118-34093-80-6,100052,50,1380,Revolving loans,F,90000.0,180000.0,9000.0,180000.0,Working,Civil marriage,0,0
10.42.0.151-104.193.88.109-48416-80-6,100053,37,1380,Cash loans,F,202500.0,305221.5,17649.0,252000.0,Pensioner,Single / not married,1,1
10.42.0.211-10.42.0.1-61516-53-17,100054,40,1380,Cash loans,F,99000.0,260640.0,26838.0,225000.0,Working,Married,0,0
10.42.0.1-10.42.0.42-53-6306-17,100055,30,1662,Cash loans,F,130500.0,1350000.0,37255.5,1350000.0,State servant,Married,1,1
172.217.11.34-10.42.0.211-443-57957-6,100056,56,1662,Cash loans,M,360000.0,1506816.0,49927.5,1350000.0,Working,Married,1,1
10.42.0.211-31.13.71.3-36726-443-6,100058,20,5764,Revolving loans,F,54000.0,135000.0,6750.0,135000.0,State servant,Married,1,1
10.42.0.151-104.244.43.99-41235-443-6,100059,31,250,Cash loans,M,540000.0,675000.0,34596.0,675000.0,Commercial associate,Married,0,0
172.217.12.142-10.42.0.211-443-55817-6,100060,40,5764,Cash loans,M,76500.0,454500.0,14661.0,454500.0,Working,Married,1,1
172.217.6.193-10.42.0.211-443-42975-6,100061,30,5764,Cash loans,F,225000.0,314055.0,16164.0,238500.0,Commercial associate,Married,0,0
10.42.0.211-10.42.0.1-11261-53-17,100062,39,5764,Cash loans,M,81000.0,675000.0,32472.0,675000.0,Pensioner,Married,0,0
10.42.0.211-77.234.44.199-32795-80-6,100063,26,1712,Cash loans,F,180000.0,837427.5,45558.0,666000.0,Working,Married,0,0
172.217.12.142-10.42.0.42-443-40997-17,100064,29,5764,Cash loans,F,67500.0,298728.0,15381.0,202500.0,Pensioner,Single / not married,0,0
